Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2024-01-08,9034.880859375,19621.431640625,5271.7587890625,4956.68408203125,5532.0625,7710.0,3666.005859375,4696.05078125,4883.31005859375,10543.26953125
2024-01-09,9082.060546875,19745.4609375,4217.40673828125,5022.7734375,5510.45263671875,7710.0,3731.97509765625,4696.05078125,4949.00537109375,10812.98046875
2024-01-10,9011.291015625,19671.04296875,3997.542236328125,5022.7734375,5553.67138671875,7710.0,3769.671875,4653.93359375,4905.20849609375,11131.73046875
2024-01-11,9034.880859375,19596.626953125,3707.720458984375,5066.83251953125,5575.28125,7710.0,3760.247802734375,4674.99267578125,4905.20849609375,10911.0576171875
2024-01-12,9152.8291015625,19547.013671875,3557.8125,5154.95166015625,5683.32958984375,8992.5,3779.09619140625,4717.109375,4905.20849609375,10960.095703125
2024-01-13,9152.8291015625,19547.013671875,3557.8125,5154.95166015625,5683.32958984375,8992.5,3779.09619140625,4717.109375,4905.20849609375,10960.095703125
2024-01-14,9152.8291015625,19547.013671875,3557.8125,5154.95166015625,5683.32958984375,8992.5,3779.09619140625,4717.109375,4905.20849609375,10960.095703125
2024-01-15,9176.4189453125,19596.626953125,3228.015380859375,5132.921875,5618.50048828125,9815.0,3769.671875,4653.93359375,4927.10693359375,10911.0576171875
2024-01-16,9152.8291015625,19621.431640625,3557.8125,5132.921875,5640.1103515625,11122.5,3779.09619140625,4632.875,4905.20849609375,10862.01953125
2024-01-17,9200.0087890625,19522.208984375,3407.90478515625,5088.8623046875,5640.1103515625,12247.5,3760.247802734375,4548.6416015625,4861.412109375,10911.0576171875
2024-01-18,9129.240234375,19671.04296875,4257.38232421875,5066.83251953125,5640.1103515625,13400.0,3722.551025390625,4527.5830078125,4861.412109375,11058.1728515625
2024-01-19,9082.060546875,19671.04296875,4347.3271484375,5110.89208984375,5640.1103515625,14200.0,3713.126953125,4506.52392578125,4817.61572265625,11327.884765625
2024-01-20,9082.060546875,19671.04296875,4347.3271484375,5110.89208984375,5640.1103515625,14200.0,3713.126953125,4506.52392578125,4817.61572265625,11327.884765625
2024-01-21,9082.060546875,19671.04296875,4347.3271484375,5110.89208984375,5640.1103515625,14200.0,3713.126953125,4506.52392578125,4817.61572265625,11327.884765625
2024-01-22,9082.060546875,19646.23828125,4787.056640625,5088.8623046875,5618.50048828125,14200.0,3750.823486328125,4401.23193359375,4839.51416015625,11180.76953125
2024-01-23,9058.470703125,19646.23828125,5496.62060546875,5022.7734375,5618.50048828125,13550.0,3722.551025390625,4316.99755859375,4751.9208984375,11156.25
2024-01-24,8987.7021484375,19547.013671875,5471.6357421875,4978.71435546875,5532.0625,13450.0,3741.3994140625,4274.880859375,4795.71728515625,11180.76953125
